Source,Target,Weight,Time
1,1580,1,2014-03-20
1,545,1,2014-02-08
1,146,1,2014-01-24
1,1198,1,2014-01-15
1,1589,1,2014-01-09
1,3341,1,2014-01-05
1,3339,1,2013-12-30
1,2402,1,2013-12-30
1,2401,1,2013-12-11
1,1382,1,2013-12-11
1,3335,1,2013-12-08
1,3317,1,2013-12-06
1,3329,1,2013-12-06
1,3332,1,2013-12-05
1,3330,1,2013-11-29
1,1867,1,2013-11-29
1,1197,1,2013-11-29
1,3319,1,2013-11-29
1,1885,1,2013-11-29
1,1862,1,2013-11-27
1,1886,1,2013-11-20
1,649,1,2013-11-20
1,154,1,2013-11-19
1,3316,1,2013-11-20
1,617,1,2013-10-30
1,3313,1,2013-10-30
1,3300,1,2013-09-23
1,1522,1,2013-09-20
1,2391,1,2013-09-14
1,896,1,2013-09-11
1,3298,1,2013-09-11
1,462,1,2013-09-02
1,3295,1,2013-09-23
1,432,1,2013-08-31
1,3292,1,2013-08-27
1,3290,1,2013-08-24
1,2383,1,2013-08-22
1,1195,1,2013-08-22
1,3283,1,2013-08-05
1,1875,1,2013-08-05
1,3279,1,2013-07-31
1,2378,1,2013-07-29
1,1579,1,2013-07-27
1,291,1,2013-07-27
1,454,1,2013-07-14
1,2375,1,2013-07-14
1,292,1,2013-07-14
1,158,1,2013-07-14
1,3256,1,2013-07-11
1,1846,1,2013-07-03
1,3259,1,2013-06-30
1,1066,1,2013-06-28
1,1061,1,2013-06-26
1,3253,1,2013-06-17
1,1860,1,2013-06-07
1,3247,1,2013-06-04
1,2368,1,2013-06-04
1,151,1,2013-05-30
1,3245,1,2013-05-27
1,1574,1,2013-05-26
1,290,1,2013-05-23
1,1570,1,2013-05-20
1,3233,1,2013-05-19
1,891,1,2013-05-18
1,1856,1,2013-05-05
1,115,1,2013-05-05
1,3215,1,2013-05-03
1,483,1,2013-04-25
1,1365,1,2013-04-24
1,3211,1,2013-04-21
1,3210,1,2013-04-20
1,3189,1,2013-04-17
1,3193,1,2013-04-16
1,1847,1,2013-04-16
1,3202,1,2013-04-15
1,2351,1,2013-04-15
1,1063,1,2013-04-14
1,2352,1,2013-04-14
1,1051,1,2013-04-08
1,3173,1,2013-04-02
1,1843,1,2013-03-31
1,3163,1,2013-03-29
1,1186,1,2013-03-29
1,7341,1,2013-03-29
1,2342,1,2013-07-27
1,3139,1,2013-03-29
1,3167,1,2013-03-27
1,459,1,2013-03-25
1,2338,1,2013-03-24
1,1842,1,2013-03-24
1,2334,1,2013-03-22
1,3156,1,2013-03-21
1,817,1,2013-03-14
1,1840,1,2013-03-11
1,3141,1,2013-03-09
1,1521,1,2013-03-09
1,3149,1,2013-03-09
1,2324,1,2013-03-09
1,1839,1,2013-03-08
1,3143,1,2013-03-08
1,3148,1,2013-03-08
1,3142,1,2013-03-05
1,1060,1,2013-02-25
1,7431,1,2013-02-25
1,1355,1,2013-02-18
1,3134,1,2013-02-17
1,174,1,2013-02-13
1,2315,1,2013-02-09
1,1356,1,2013-02-07
1,3124,1,2013-02-07
1,1835,1,2013-02-05
1,296,1,2013-02-02
1,1180,1,2013-02-01
1,3118,1,2013-01-29
1,1542,1,2013-01-28
1,3113,1,2013-01-20
1,3111,1,2013-01-15
1,3013,1,2013-01-14
1,529,1,2013-01-07
1,1826,1,2013-01-05
1,3103,1,2013-01-05
1,1822,1,2013-01-05
1,3101,1,2013-01-02
1,753,1,2012-12-21
1,3083,1,2012-12-21
1,3088,1,2012-12-19
1,395,1,2012-12-18
1,3084,1,2012-12-15
1,333,1,2012-12-10
1,1339,1,2012-12-07
1,3068,1,2012-12-07
1,3042,1,2012-12-06
1,3078,1,2012-12-05
1,596,1,2012-12-05
1,1796,1,2012-12-01
1,2281,1,2012-12-01
1,3070,1,2012-11-27
1,1442,1,2012-11-26
1,3064,1,2012-11-23
1,194,1,2012-11-21
1,3062,1,2012-11-20
1,701,1,2012-11-18
1,3059,1,2012-11-17
1,124,1,2012-11-15
1,7427,1,2012-11-13
1,3057,1,2012-11-13
1,396,1,2012-11-09
1,2276,1,2012-11-09
1,2273,1,2012-11-09
1,3048,1,2012-11-06
1,523,1,2013-02-07
1,2271,1,2012-10-31
1,95,1,2012-10-21
1,1525,1,2012-10-18
1,2235,1,2012-10-17
1,2261,1,2012-10-15
1,1342,1,2012-10-12
1,331,1,2012-10-12
1,3027,1,2012-10-11
1,3023,1,2012-10-10
1,3026,1,2012-10-10
1,373,1,2012-10-10
1,68,1,2012-10-10
1,1331,1,2012-10-08
1,116,1,2012-10-07
1,2147,1,2012-10-04
1,3020,1,2012-09-30
1,2252,1,2012-09-30
1,179,1,2012-09-30
1,3004,1,2012-09-26
1,491,1,2012-09-24
1,214,1,2012-09-20
1,439,1,2012-09-18
1,3010,1,2012-09-17
1,2090,1,2012-09-16
1,3006,1,2012-09-14
1,810,1,2012-09-14
1,1167,1,2012-09-13
1,697,1,2012-09-09
1,67,1,2012-09-09
1,258,1,2012-09-04
1,1793,1,2012-09-04
1,3000,1,2012-09-02
1,2999,1,2012-09-02
1,1340,1,2012-09-02
1,2996,1,2012-08-29
1,2989,1,2012-08-28
1,1043,1,2012-08-25
1,554,1,2012-08-25
1,1336,1,2012-08-23
1,1337,1,2012-08-18
1,2238,1,2012-08-09
1,178,1,2012-08-03
1,747,1,2012-07-17
1,2966,1,2012-07-14
1,2962,1,2012-07-04
1,474,1,2012-07-03
1,330,1,2012-07-01
1,260,1,2012-06-30
1,2952,1,2012-06-22
1,455,1,2012-06-18
1,2941,1,2012-06-17
1,2947,1,2012-06-17
1,2945,1,2012-06-13
1,2942,1,2012-06-12
1,623,1,2012-06-11
1,1509,1,2012-06-11
1,2926,1,2012-06-10
1,29,1,2012-06-06
1,2217,1,2012-06-04
1,123,1,2012-08-02
1,1510,1,2012-06-01
1,1505,1,2012-05-28
1,2927,1,2012-05-26
1,804,1,2012-05-21
1,2920,1,2012-05-15
1,301,1,2012-05-14
1,2782,1,2012-05-05
1,2907,1,2012-05-03
1,2909,1,2012-05-02
1,958,1,2012-04-30
1,1148,1,2012-04-26
1,1502,1,2012-04-25
1,2904,1,2012-04-25
1,955,1,2012-04-22
1,874,1,2012-04-19
1,2898,1,2012-04-19
1,1500,1,2012-04-19
1,2198,1,2012-04-18
1,1320,1,2012-04-17
1,1760,1,2012-04-14
1,1494,1,2012-04-11
1,2178,1,2012-04-11
1,2892,1,2012-04-11
1,636,1,2012-04-11
1,1034,1,2012-04-07
1,276,1,2012-04-02
1,2876,1,2012-03-30
1,1318,1,2012-03-30
1,259,1,2012-03-30
1,2881,1,2012-03-30
1,117,1,2012-03-28
1,1492,1,2012-03-21
1,2185,1,2012-03-19
1,1313,1,2012-03-19
1,1491,1,2012-03-16
1,2870,1,2012-03-14
1,1309,1,2012-03-14
1,2181,1,2012-03-12
1,2858,1,2012-03-02
1,2177,1,2012-03-02
1,1749,1,2012-02-22
1,2848,1,2012-02-20
1,1458,1,2012-02-20
1,951,1,2012-02-19
1,1029,1,2012-02-17
1,2176,1,2012-02-17
1,347,1,2012-02-14
1,2846,1,2012-02-13
1,2845,1,2012-02-16
1,370,1,2013-12-30
1,2173,1,2012-02-10
1,2844,1,2012-02-10
1,1302,1,2012-02-05
1,2167,1,2012-01-23
1,2837,1,2012-01-20
1,517,1,2012-01-20
1,2826,1,2012-01-20
1,2166,1,2012-01-17
1,2163,1,2012-01-16
1,1742,1,2012-06-28
1,2830,1,2012-01-11
1,1295,1,2012-01-09
1,2823,1,2012-01-07
1,2632,1,2012-01-05
1,2820,1,2012-01-02
1,2814,1,2011-12-27
1,796,1,2011-12-23
1,1736,1,2011-12-23
1,1025,1,2011-12-21
1,1482,1,2011-12-19
1,1483,1,2011-12-19
1,2152,1,2011-12-17
1,2810,1,2011-12-23
1,2149,1,2011-12-14
1,2808,1,2011-12-12
1,2144,1,2011-12-11
1,2806,1,2011-12-08
1,1128,1,2011-12-03
1,38,1,2011-12-01
1,2801,1,2011-11-29
1,736,1,2011-11-28
1,2136,1,2011-11-29
1,2795,1,2011-11-23
1,2793,1,2011-11-20
1,1288,1,2011-11-20
1,1436,1,2011-11-18
1,2498,1,2011-11-16
1,7603,1,2011-11-10
1,2786,1,2011-11-09
1,2784,1,2011-11-09
1,587,1,2011-11-07
1,2783,1,2011-11-07
1,2780,1,2011-11-03
1,944,1,2011-11-01
1,305,1,2011-11-01
1,2779,1,2011-11-01
1,2775,1,2011-10-29
1,346,1,2011-10-29
1,683,1,2011-10-28
1,2772,1,2011-10-26
1,2129,1,2011-10-25
1,75,1,2011-10-22
1,2771,1,2011-10-19
1,175,1,2011-10-18
1,1136,1,2011-10-16
1,1283,1,2011-10-14
1,2127,1,2011-10-11
1,2767,1,2011-10-03
1,2764,1,2011-09-29
1,2763,1,2011-09-29
1,2093,1,2011-09-21
1,1284,1,2011-09-20
1,72,1,2011-09-18
1,264,1,2011-09-17
1,2754,1,2011-09-15
1,2756,1,2011-09-15
1,1285,1,2011-09-15
1,613,1,2011-09-15
1,304,1,2011-09-13
1,1282,1,2011-09-13
1,4721,1,2011-09-11
1,2752,1,2011-09-05
1,2750,1,2011-09-05
1,2746,1,2011-09-01
1,586,1,2011-08-31
1,2747,1,2011-08-31
1,2119,1,2011-08-31
1,1715,1,2011-08-30
1,1475,1,2011-08-29
1,734,1,2011-08-27
1,2744,1,2011-08-27
1,2108,1,2011-08-24
1,1923,1,2011-08-27
1,2743,1,2011-08-24
1,1465,1,2011-08-22
1,1720,1,2011-08-19
1,2742,1,2011-08-19
1,2117,1,2011-08-18
1,90,1,2011-08-16
1,2707,1,2011-08-10
1,1457,1,2011-08-08
1,2731,1,2011-08-08
1,2725,1,2011-08-01
1,2109,1,2011-07-28
1,2713,1,2011-07-25
1,155,1,2011-07-22
1,543,1,2011-07-19
1,2102,1,2011-07-18
1,231,1,2011-07-20
1,1708,1,2011-07-08
1,2700,1,2011-07-08
1,2687,1,2011-07-05
1,1413,1,2011-07-04
1,1129,1,2011-07-03
1,2695,1,2011-07-03
1,76,1,2011-06-29
1,1445,1,2011-06-27
1,2065,1,2011-06-16
1,2619,1,2011-06-14
1,2605,1,2011-06-14
1,1251,1,2011-06-11
1,2586,1,2011-06-08
1,1117,1,2011-06-08
1,300,1,2011-06-08
1,1248,1,2011-06-07
1,725,1,2011-06-04
1,578,1,2011-06-03
1,2559,1,2011-06-03
1,507,1,2011-05-30
1,1942,1,2011-05-09
1,1232,1,2011-05-06
1,42,1,2011-05-05
1,534,1,2011-05-05
1,994,1,2011-05-05
1,503,1,2011-04-26
1,2448,1,2011-04-12
1,846,1,2011-04-05
1,2,1,2010-11-30
1,7348,-1,2013-12-19
1,7425,-1,2012-05-12
1,7557,-1,2011-08-05
1,7589,-1,2011-05-10
1368,2,10,2014-05-06
164,2,10,2014-08-12
244,2,10,2013-03-05
62,2,10,2012-10-07
2244,2,10,2012-09-29
148,2,10,2012-09-21
7403,2,10,2012-04-21
52,2,10,2012-03-23
264,2,10,2012-05-16
159,2,10,2012-02-25
66,2,10,2012-07-27
20,2,10,2012-04-02
60,2,10,2012-01-02
585,2,10,2012-01-02
97,2,10,2011-09-19
2006,2,10,2011-06-03
1421,2,10,2011-05-08
353,2,10,2011-05-04
42,2,10,2011-06-02
37,2,10,2012-07-24
51,2,9,2012-07-24
185,2,9,2012-04-29
38,2,9,2014-03-10
7603,2,9,2012-05-24
312,2,9,2011-06-09
168,2,9,2010-12-01
354,2,8,2012-09-17
108,2,8,2011-12-10
9,2,8,2012-02-25
22,2,8,2014-02-24
91,2,8,2011-05-30
40,2,8,2011-12-12
250,2,8,2011-03-31
271,2,8,2010-11-12
119,2,8,2010-11-10
10,2,8,2010-11-23
113,2,8,2012-11-27
54,2,8,2011-03-07
375,2,7,2014-11-12
177,2,7,2012-09-22
31,2,7,2012-03-18
47,2,7,2012-07-04
17,2,7,2011-12-04
23,2,7,2011-03-28
74,2,7,2011-06-21
4,2,7,2011-02-21
179,2,6,2014-06-15
165,2,6,2013-06-19
306,2,6,2012-07-24
8,2,5,2014-04-23
242,2,5,2014-02-24
412,2,5,2013-04-23
381,2,5,2013-02-25
561,2,5,2012-12-03
216,2,5,2012-05-11
107,2,5,2013-02-28
681,2,5,2011-11-16
79,2,5,2011-08-09
272,2,5,2012-03-11
39,2,5,2012-03-13
150,2,5,2011-06-17
181,2,5,2011-05-18
109,2,5,2011-05-04
503,2,5,2011-04-08
223,2,5,2012-08-14
2404,2,4,2014-02-23
24,2,4,2013-08-15
19,2,4,2014-02-23
7,2,4,2014-09-30
348,2,4,2014-06-13
11,2,4,2012-05-14
473,2,4,2011-06-02
1921,2,4,2011-04-13
99,2,4,2011-03-28
121,2,4,2012-01-17
15,2,3,2011-08-03
1380,2,3,2014-02-22
30,2,3,2013-10-05
73,2,3,2013-09-03
85,2,3,2013-07-19
189,2,3,2012-06-15
787,2,3,2012-06-03
133,2,3,2012-05-04
1709,2,3,2011-07-26
75,2,3,2011-12-16
658,2,3,2011-05-05
293,2,3,2011-02-03
768,2,3,2011-01-31
45,2,3,2011-04-04
471,2,3,2010-12-02
1632,2,3,2010-11-29
281,2,2,2014-07-29
269,2,2,2014-07-02
96,2,2,2014-06-14
2336,2,2,2014-05-05
87,2,2,2013-12-15
206,2,2,2013-12-14
330,2,2,2013-10-10
90,2,2,2012-07-22
241,2,2,2013-10-22
190,2,2,2012-06-26
1494,2,2,2012-04-05
7577,2,2,2012-03-01
798,2,2,2012-02-12
211,2,2,2012-01-26
140,2,2,2011-07-20
217,2,2,2011-06-01
182,2,2,2011-05-23
236,2,2,2011-05-22
777,2,2,2011-06-03
1098,2,2,2011-05-10
106,2,2,2012-07-26
237,2,2,2011-04-15
44,2,2,2011-03-31
1401,2,2,2011-02-27
1409,2,2,2011-04-28
769,2,2,2011-02-18
1209,2,2,2011-02-02
917,2,2,2011-01-03
710,2,2,2010-12-21
114,2,1,2015-04-25
2698,2,1,2011-02-15
1127,2,1,2010-11-25
249,2,1,2014-11-05
1009,2,1,2014-10-26
1386,2,1,2014-08-27
173,2,1,2014-04-29
126,2,1,2014-04-24
43,2,1,2014-04-18
222,2,1,2014-02-23
647,2,1,2014-02-26
58,2,1,2014-08-09
5,2,1,2013-12-16
1156,2,1,2013-10-16
553,2,1,2013-05-26
170,2,1,2013-04-14
93,2,1,2013-03-21
145,2,1,2013-02-18
1523,2,1,2012-10-07
